source;Target Device;;;Percentage of differently rendered widgets;sd
Pixel 3 XL;Google Nexus 5X;51;899;5.67;3.523621528
Pixel 3 XL;Nexus 6P;73;899;8.12;3.523621528
Pixel 3 XL;Nexus 6;73;899;8.12;3.523621528
Pixel 3 XL;Pixel 2;71;899;7.9;3.523621528
Pixel 3 XL;Pixel 2 XL;46;899;5.12;3.523621528
Pixel 3 XL;Pixel 3a;38;899;4.23;3.523621528
Pixel 3 XL;Pixel 3a XL;37;899;4.12;3.523621528
Pixel 3 XL;Pixel 3;38;899;4.23;3.523621528
Pixel 3 XL;Pixel;66;899;7.34;3.523621528
Pixel 3 XL;Pixel XL;73;899;8.12;3.523621528
Pixel 3 XL;Google Nexus 5;66;899;7.34;3.523621528
Pixel 3 XL;Google Nexus 4;81;899;9.01;3.523621528
Pixel 3 XL;Nexus S;147;899;16.35;3.523621528
Pixel 3 XL;Pixel 3 XL;0;899;0;0
Google Nexus 5;Google Nexus 5X;19;850;2.24;2.105233639
Google Nexus 5;Nexus 6P;30;850;3.53;2.105233639
Google Nexus 5;Nexus 6;30;850;3.53;2.105233639
Google Nexus 5;Pixel 2;36;850;4.24;2.105233639
Google Nexus 5;Pixel 2 XL;37;850;4.35;2.105233639
Google Nexus 5;Pixel 3a;19;850;2.24;2.105233639
Google Nexus 5;Pixel 3a XL;19;850;2.24;2.105233639
Google Nexus 5;Pixel 3;20;850;2.35;2.105233639
Google Nexus 5;Pixel;5;850;0.59;2.105233639
Google Nexus 5;Pixel XL;31;850;3.65;2.105233639
Google Nexus 5;Google Nexus 4;16;850;1.88;2.105233639
Google Nexus 5;Nexus S;79;850;9.29;2.105233639
Google Nexus 5;Pixel 3 XL;25;850;2.94;2.105233639
Google Nexus 5;Google Nexus 5;0;850;0;0
Nexus S;Google Nexus 5X;22;787;2.8;1.852530536
Nexus S;Nexus 6P;42;787;5.34;1.852530536
Nexus S;Nexus 6;42;787;5.34;1.852530536
Nexus S;Pixel 2;48;787;6.1;1.852530536
Nexus S;Pixel 2 XL;51;787;6.48;1.852530536
Nexus S;Pixel 3a;21;787;2.67;1.852530536
Nexus S;Pixel 3a XL;21;787;2.67;1.852530536
Nexus S;Pixel 3;22;787;2.8;1.852530536
Nexus S;Pixel;36;787;4.57;1.852530536
Nexus S;Pixel XL;43;787;5.46;1.852530536
Nexus S;Google Nexus 5;32;787;4.07;1.852530536
Nexus S;Google Nexus 4;21;787;2.67;1.852530536
Nexus S;Pixel 3 XL;53;787;6.73;1.852530536
Nexus S;Nexus S;0;787;0;0
