descriptor;source device;target device;app;screenshot;precision;recall;time;mode
akaze;Google Nexus 5;Google_Nexus_4;Appunti_4.02.1082481;Screenshot_0;1;1;1.2139;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;appunti_scritto_0.0.16;Screenshot_0;1;1;0.6752;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;ASCII_Text_Symbols_1.0;Screenshot_0;0.8529;0.7838;0.837;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;Bangla_Note_2.3;Screenshot_0;1;1;0.6985;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;Belt.io_1.0.1;Screenshot_0;1;1;1.0896;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;Catch_Notes_5.2.11;Screenshot_0;0.6667;1;0.7577;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;Cek_Pulsa_Kuota_Semua_Operator_Seluler_1.2;Screenshot_0;0.9412;1;1.12;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;Character_Story_Planner_2_1.91;Screenshot_0;1;1;0.7666;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;Clipboard_Contents_6.3.1.10;Screenshot_0;1;0.8571;0.6769;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;Clipboard_Manager_4;Screenshot_0;0.6667;0.5;0.729;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;ColorNote_Notepad_4.1.4;Screenshot_0;1;1;0.7251;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;Cute_Text_Photo_Maker_and_Editor_1.0;Screenshot_0;1;1;0.9531;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;Death_Note_3.1.5;Screenshot_0;1;1;0.7986;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;Diario_Segreto_2.8;Screenshot_0;1;1;0.9153;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;Document_Manager_1.9;Screenshot_0;0.5714;0.5714;0.6895;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;Fancy_Text_Free_3.5;Screenshot_0;1;1;0.7547;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;Fast_Notepad_1.4.4;Screenshot_0;1;0.75;0.6305;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;Floating_Stickies_2.1;Screenshot_0;1;0.4286;0.9625;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;GenialWriting_1.38.0811;Screenshot_0;1;1;1.0391;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;GirlsDiary_1.9.5;Screenshot_0;1;1;0.7726;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;GNotes_1.8.3.8;Screenshot_0;0.875;1;0.7063;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;GO_Note_Widget_2.33;Screenshot_0;0.8571;0.8571;0.8257;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;Handrite_2.16;Screenshot_0;1;1;0.7011;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;Handy_Journal_3.1.3;Screenshot_0;1;1;1.0505;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;Hashnote_1.5.1;Screenshot_0;1;1;1.0199;fullscreen
akaze;Google Nexus 5;Google_Nexus_4;iPhone_Notifications_Lite_6.4;Screenshot_0;1;1;0.9831;fullscreen
