technique;source;target;interaction_number;locator_number;interactions;locators;tests;found time
eyeautomate;Nexus5;Nexus5;170;52;151;46;21;405.8
eyeautomate;Nexus5;Nexus5x;170;52;124;33;7;450.2
eyeautomate;Nexus5;Pixel 2xl;170;52;116;27;3;446.9
eyeautomate;Nexus5;Pixel;170;52;127;29;6;456.3
eyeautomate;Nexus5;Pixel XL;170;52;118;29;8;379.6
eyeautomate;Nexus5;Pixel 3XL;170;52;125;31;5;575.3
eyeautomate;Nexus5;Nexus 4;170;52;135;36;11;437.2
eyeautomate;Nexus5;Nexus S;167;50;123;31;7;636.2
eyeautomate;Nexus5;Pixel 3a XL;170;52;79;25;1;845.6
eyeautomate;Nexus5;Nexus 6 ;170;52;108;24;1;656.7
eyeautomate;Nexus5;Nexus 6p;170;52;147;35;16;656.7
eyeautomate;Nexus5;Pixel 2;170;52;119;32;9;302.9
eyeautomate;Nexus5;Pixel 3;170;52;145;39;9;523.8
eyeautomate;Nexus5;Pixel 3A;170;52;149;39;13;638.3
eyeautomate;Nexus S;Nexus5;167;50;96;27;1;546.8
eyeautomate;Nexus S;Nexus5x;167;50;47;14;0;2021
eyeautomate;Nexus S;Pixel 2xl;167;50;65;22;0;756.6
eyeautomate;Nexus S;Pixel;167;50;40;14;0;1008.77
eyeautomate;Nexus S;Pixel XL;167;50;72;18;0;555.1
eyeautomate;Nexus S;Pixel 3XL;167;50;36;18;0;1243.6
eyeautomate;Nexus S;Nexus 4;167;50;75;20;0;560.2
eyeautomate;Nexus S;Nexus S;167;50;149;40;18;975.2
eyeautomate;Nexus S;Pixel 3a XL;167;50;35;13;0;1178.6
eyeautomate;Nexus S;Nexus 6 ;167;50;72;21;0;1249.2
eyeautomate;Nexus S;Nexus 6p;167;50;31;15;0;1549.8
eyeautomate;Nexus S;Pixel 2;167;50;41;14;0;887
eyeautomate;Nexus S;Pixel 3;167;50;48;16;0;623.9
eyeautomate;Nexus S;Pixel 3A;167;50;66;20;0;965.4
eyeautomate;Pixel 3;Nexus5;170;52;130;36;12;804.5
eyeautomate;Pixel 3;Nexus5x;170;52;152;40;16;420.9
eyeautomate;Pixel 3;Pixel 2xl;170;52;148;39;15;469.2
eyeautomate;Pixel 3;Pixel;170;52;153;41;16;683.2
eyeautomate;Pixel 3;Pixel XL;170;52;139;38;15;487
eyeautomate;Pixel 3;Pixel 3XL;170;52;137;38;11;419.5
eyeautomate;Pixel 3;Nexus 4;170;52;157;45;19;453.9
eyeautomate;Pixel 3;Nexus S;167;50;84;28;0;727.7
eyeautomate;Pixel 3;Pixel 3a XL;170;52;93;35;2;540
eyeautomate;Pixel 3;Nexus 6 ;170;52;144;39;15;553.4
eyeautomate;Pixel 3;Nexus 6p;170;52;146;35;16;774.7
eyeautomate;Pixel 3;Pixel 2;170;52;141;41;14;680.5
