technique;source;target;interaction_number;locator_number;interactions;locators;tests;found time;app
sikuli;Nexus S;Pixel;234;77;29;3;0;233;antennapod
sikuli;Nexus S;Pixel 3XL;234;77;30;3;0;633;antennapod
sikuli;Nexus S;Nexus 6;234;77;30;3;0;226;antennapod
sikuli;Nexus S;Nexus 6p;234;77;29;3;0;393;antennapod
sikuli;Nexus S;Pixel 2xl;234;77;33;4;0;231;antennapod
sikuli;Nexus S;Nexus 4;234;77;54;4;0;247;antennapod
sikuli;Nexus S;Pixel 2;234;77;30;4;0;340;antennapod
sikuli;Nexus S;Pixel 3A;234;77;54;4;0;345;antennapod
sikuli;Nexus S;Nexus 6p;167;50;7;4;0;906.6;passandroid
sikuli;Nexus S;Nexus5x;234;77;35;5;0;320;antennapod
sikuli;Nexus S;Pixel XL;234;77;56;5;0;247;antennapod
sikuli;Nexus S;Pixel 3;234;77;54;5;0;281;antennapod
sikuli;Nexus S;Pixel;167;50;40;5;1;430.1;passandroid
sikuli;Nexus S;Pixel 3XL;167;50;16;5;1;911.7;passandroid
sikuli;Nexus5;Pixel 3a XL;234;77;57;6;0;259;antennapod
sikuli;Nexus S;Pixel 3a XL;234;77;34;6;0;232;antennapod
sikuli;Nexus S;Pixel XL;167;50;49;6;0;416.5;passandroid
sikuli;Nexus S;Pixel 3a XL;167;50;15;6;0;653.1;passandroid
sikuli;Nexus S;Nexus 6;167;50;49;6;0;462.2;passandroid
sikuli;Nexus5;Pixel 3a XL;170;52;40;8;1;348.8;passandroid
sikuli;Nexus S;Nexus5x;167;50;45;8;1;663.4;passandroid
sikuli;Nexus S;Pixel 2;167;50;47;8;1;335.4;passandroid
sikuli;Nexus S;Pixel 3A;167;50;45;8;1;451.8;passandroid
sikuli;Pixel 3;Nexus S;234;77;42;9;0;475;antennapod
sikuli;Nexus S;Pixel 2xl;167;50;48;9;1;636.9;passandroid
sikuli;Nexus S;Nexus 4;167;50;46;9;1;368.2;passandroid
sikuli;Nexus S;Pixel 3;167;50;53;9;1;371.6;passandroid
sikuli;Nexus S;Nexus5;234;77;68;10;0;260;antennapod
sikuli;Nexus5;Pixel 2xl;234;77;65;11;0;245;antennapod
sikuli;Pixel 3;Nexus S;167;50;22;11;0;352.7;passandroid
sikuli;Nexus5;Pixel 3XL;234;77;65;12;0;260;antennapod
eyeautomate;Nexus S;Nexus 6p;234;77;28;13;0;263;antennapod
sikuli;Nexus5;Nexus 6;234;77;67;13;0;266;antennapod
eyeautomate;Nexus S;Pixel 3a XL;167;50;35;13;0;1178.6;passandroid
sikuli;Nexus5;Nexus5x;234;77;80;14;0;240;antennapod
sikuli;Nexus5;Nexus 6p;234;77;81;14;0;269;antennapod
sikuli;Pixel 3;Nexus5;234;77;91;14;0;306;antennapod
eyeautomate;Nexus S;Nexus5x;167;50;47;14;0;2021;passandroid
eyeautomate;Nexus S;Pixel;167;50;40;14;0;1008.77;passandroid
eyeautomate;Nexus S;Pixel 2;167;50;41;14;0;887;passandroid
sikuli;Nexus5;Nexus 6p;170;52;83;14;1;361.6;passandroid
sikuli;Nexus5;Pixel 2;170;52;83;14;1;336.8;passandroid
sikuli;Nexus S;Nexus5;167;50;82;14;1;393.2;passandroid
eyeautomate;Nexus S;Pixel 3XL;234;77;36;15;0;394;antennapod
sikuli;Nexus5;Pixel;234;77;84;15;0;228;antennapod
sikuli;Nexus5;Pixel XL;234;77;83;15;0;237;antennapod
sikuli;Nexus5;Nexus S;234;77;66;15;0;240;antennapod
sikuli;Nexus5;Pixel 2;234;77;85;15;0;267;antennapod
eyeautomate;Nexus S;Nexus 6p;167;50;31;15;0;1549.8;passandroid
sikuli;Nexus5;Nexus5x;170;52;84;15;1;368.4;passandroid
sikuli;Nexus5;Pixel 2xl;170;52;76;15;2;312.6;passandroid
sikuli;Nexus5;Pixel XL;170;52;84;15;1;335.4;passandroid
sikuli;Nexus5;Pixel 3XL;170;52;82;15;2;451.8;passandroid
eyeautomate;Nexus S;Pixel 3;167;50;48;16;0;623.9;passandroid
sikuli;Nexus5;Pixel;170;52;85;16;1;421.7;passandroid
sikuli;Nexus5;Nexus 6;170;52;85;16;1;380.6;passandroid
eyeautomate;Nexus S;Pixel;234;77;36;17;0;303;antennapod
eyeautomate;Nexus S;Nexus 6;234;77;41;17;0;156;antennapod
sikuli;Pixel 3;Pixel 3a XL;234;77;90;17;0;343;antennapod
eyeautomate;Nexus S;Pixel XL;234;77;53;18;0;161;antennapod
eyeautomate;Nexus S;Pixel XL;167;50;72;18;0;555.1;passandroid
eyeautomate;Nexus S;Pixel 3XL;167;50;36;18;0;1243.6;passandroid
sikuli;Nexus5;Nexus S;167;50;93;18;2;460.1;passandroid
akaze_cropped;Pixel 3;Nexus S;234;77;40;19;0;365;antennapod
sikuli;Nexus5;Pixel 3;170;52;88;19;2;362.3;passandroid
sikuli;Pixel 3;Pixel 3a XL;170;52;88;19;0;336.5;passandroid
sikuli;Nexus5;Pixel 3;234;77;93;20;0;254;antennapod
sikuli;Nexus5;Pixel 3A;234;77;91;20;0;256;antennapod
eyeautomate;Nexus S;Nexus 4;167;50;75;20;0;560.2;passandroid
